Party,Form_type
Aam Aadmi Party,AAP
All India Anna Dravida Munnetra Kazhagam,AIADMK
All India Majlis-E-Ittehadul Muslimeen,ALL INDIA MAJLIS-E-ITTEHADUL MUSLIMEEN
All India N.R. Congress,ALL INDIA NR CONGRESS
All India Trinamool Congress,AITC
All India United Democratic Front,AIUDF
Apna Dal,APNA DAL
Bharatiya Janata Party,BJP
Biju Janata Dal,BJD
Communist Party of India,CPI
Communist Party of India  (Marxist),CPIM
Independent,IND
Indian National Congress,INC
Indian National Lok Dal,INLD
Indian Union Muslim League,IUML
Jammu & Kashmir Peoples Democratic Party,JKPDP
Janata Dal  (Secular),JDS
Janata Dal  (United),JDU
Jharkhand Mukti Morcha,JMM
Kerala Congress  (M),KERALA CONGRESS M
Lok Jan Shakti Party,LJP
Naga Peoples Front,NPF
National Peoples Party,NPP
Nationalist Congress Party,NCP
Pattali Makkal Katchi,PATTALI MAKKAL KATCHI
Rashtriya Janata Dal,RJD
Rashtriya Lok Samta Party,RASHTRIYA LOK SAMTA PARTY
Revolutionary Socialist Party,REVOLUTIONARY SOCIALIST PARTY
Samajwadi Party,SP
Shiromani Akali Dal,SAD
Shivsena,SHS
Sikkim Democratic Front,SDF
Swabhimani Paksha,SWABHIMANI PAKSHA
Telangana Rashtra Samithi,TRS
Telugu Desam,TDP
Yuvajana Sramika Rythu Congress Party,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY
